"","id","description"
"1936","noonehrt","No one hurt from traditional family"
"1937","feless1","How important men work harder explain"
"1938","feless2","How important women's family responsibilities"
"1939","feless3","How important give men better paying jobs"
"1940","fekids1","How important women biologically better-suited"
"1941","fekids2","How important women are taught from childhood"
"1942","fekids3","How important the way society is set up"
"1943","fekids4","How important men have more freedom"
"1944","fekids5","How important it is god's will"
"1945","mebear","Can husband refuse to sire children"
"1946","fehire","Should hire and promote women"
"1947","feminist","Think yourself as a feminist?"
"1948","fenews","How often pay attention to women issues"
"1949","hmemaker","Full-time homemakeR's lives improved"
"1950","wrkclass","Working-class women's lives improved"
"1951","manprof","Professional women's lives improved"
"1952","men","Men's lives improved"
"1953","children","Children's lives improved"
"1954","yourself","R's life improved"
"1955","shakeblu","Felt that couldn't shake the blues?"
"1956","calm","Felt calm?"
"1957","outraged","Felt outraged at something somebody"
"1958","hapfeel","Felt happy?"
"1959","sad","Felt sad?"
"1960","ashamed","Felt ashamed of something you'd done?"
"1961","excited","Felt excited or interested in something?"
"1962","lonely","Felt lonely?"
"1963","fearful","Felt fearful about something"
"1964","ovrjoyed","Felt overjoyed about something?"
"1965","worried","Felt worried?"
"1966","contentd","Felt contented?"
"1967","anxious","Felt anxious and tense?"
"1968","restless","Felt restless?"
"1969","madat","Felt mad at something or someone?"
"1970","atease","Felt at ease?"
"1971","angry","Felt angry at someone?"
"1972","embarrss","Felt embarrassed about something?"
"1973","proud","Felt proud of something you'd done?"
"1974","noplan","There's no sense planning a lot"
"1975","badbrks","Most of my problems are due to bad breaks."
"1976","mostluck","Good things are mostly luck."
"1977","litcntrl","I have little control over the bad things"
"1978","showangr","When i'm angry i let people know."
"1979","showfeel","I'm not afraid to show my feelings."
"1980","noemote","I keep my emotions to myself."
"1981","notupset","Don't tell friends something upsetting"
"1982","beplesnt","I try to be pleasant so not to upset oth."
"1983","notworry","When anxious, try not to worry anyone else."
"1984","angrywrk","Last time R felt really angry"
"1985","angryfam","Last time R felt really angry"
"1986","angrygvt","Last time R felt really angry"
"1987","angrywhy","Last time R felt really angry"
"1988","angryev","Was an event recalled?"
"1989","whnangry","How long ago did this event happen?"
"1990","madat1","Angry at my husband-wife etc"
"1991","madat2","Angry at son"
"1992","madat3","Angry at daughter"
"1993","madat4","Angry at mother"
"1994","madat5","Angry at father"
"1995","madat6","Angry at sister"
"1996","madat7","Angry at brother"
"1997","madat8","Angry at another family member"
"1998","madat9","Angry at a friend"
"1999","madat10","Angry at an acquaintance"
"2000","madat11","Angry at a neighbor"
"2001","madat12","Angry at my boss"
"2002","madat13","Angry at a co-worker"
"2003","madat14","Angry at subordinate"
"2004","madat15","Angry at a customer or client"
"2005","madat16","Angry at someone else at work"
"2006","madat17","Angry at government employee"
"2007","madat18","Angry at someone to provide a service"
"2008","madat19","Angry at public figure"
"2009","madat20","Angry at stranger (include crowds)"
"2010","madat21","Angry at self"
"2011","madat22","Angry at an object, circumstances, etc"
"2012","madat23","Angry at other"
"2013","howangry","How intense would you say your anger was"
"2014","angrlast","How long did your anger last?"
"2015","thnkangr","How often thought about this situation"
"2016","chnang1","Think about the situation"
"2017","chnang2","Had a drink or took a pill"
"2018","chnang3","Talked to the person i was angry at"
"2019","chnang4","Talked to someone else"
"2020","chnang5","Tried to forget it"
"2021","chnang6","Tried to change the situation"
"2022","chnang7","Prayed for help from god"
"2023","chnang8","Fantasized about a magical solution"
"2024","chnang9","Went out to get some exercise"
"2025","chnang10","Yelled or hit something"
"2026","chnang11","Waited for feelings to pass"
"2027","chnang12","Tried to accept the situation"
"2028","chnang13","Left the situation"
"2029","chnang14","Thought about how to get revenge"
"2030","chnang15","Planned how to end the relationship"
"2031","chnang16","Other (specify)"
"2032","reactok","Did R feel reaction was appropriate"
"2033","othresp","How reSP. person who you were angry at?"
"2034","selfresp","How reSP. do you feel for the situation?"
"2035","likeoth","How much do you like or dislike the person"
"2036","amimp","How important is being an American to you"
"2037","notam","If not American, how much change"
"2038","usworry","How often do you feel worried for us?"
"2039","ussat","Thinking us how often feel satisfied"
"2040","usfrustr","Thinking us how often feel frustrated?"
"2041","usenthus","Thinking us how often feel enthusiastic?"
"2042","usangry","Thinking us how often feel angry"
"2043","ushopefl","Thinking us how often feel hopeful?"
"2044","usupset","Thinking us how often feel upset?"
"2045","carprivt","Have you purchased a used car past 5 yrs?"
"2046","relprivt","Relationship to the seller of the vehicle"
"2047","warrntyc","Did the seller provide a warranty?"
"2048","cardealr","Purchased a car from a dealership past 5 yrs?"
"2049","newused","Was the car new or used?"
"2050","typdealr","Rwas the agency a new or used car dealeR'ship?"
"2051","carbuya","R's own previous knowledge made R buy"
"2052","carbuyb","A friend or relative recommended R buy"
"2053","carbuyc","An acquaintance recommended R buy"
"2054","carbuyd","General reputation made R buy"
"2055","carbuye","R saw their advertisement"
"2056","carbuyf","R searched for the best price"
"2057","carbuyg","Convenience made R buy"
"2058","carbuy1","What was the most important reason?"
"2059","reldealr","R relationship to the salesperson"
"2060","satcar","How satisfied are you with your purchase?"
"2061","evbuyhme","Have you ever purchased a home"
"2062","homeyear","Rmost recent home you have purchased."
"2063","learnhme","How learned the availability of the home"
"2064","newowned","Was the home new or previously owned?"
"2065","relhome","Relationship to the previous owner of the home"
"2066","whosold","Describe your purchase"
"2067","realtora","R's own previous knowledge made R choose"
"2068","realtorb","A friend-relative recommended R choose"
"2069","realtorc","An acquaintance recommended R choose"
"2070","realtord","General reputation made R choose"
"2071","realtore","I saw their advertisement made R choose"
"2072","realtorf","Convenience made R choose the realtor"
"2073","realtor1","What was the most important reason?"
"2074","relagent","Your relationship to the real estate agent"
"2075","warrntyh","Did the seller provide any warranty"
"2076","sathome","How satisfied with your purchase"
"2077","lawyer","Hired a lawyer in the past 10 yrs?"
"2078","lawyera","My own previous knowledge of the firm"
"2079","lawyerb","A friend or relative recommended them"
"2080","lawyerc","An acquaintance recommended them."
"2081","lawyerd","General reputation in the community"
"2082","lawyere","I saw their advertisement"
"2083","lawyerf","I searched for the best price."
"2084","lawyerg","Convenience"
"2085","lawyer1","What was the most important reason?"
"2086","rellaw","Relationship to the attorney"
"2087","satlawyr","How satisfied with the legal services"
"2088","fixhome","Home maintenance services past 10 years?"
"2089","fixera","My own previous knowledge of the firm"
"2090","fixerb","A friend or relative recommended them"
"2091","fixerc","An acquaintance recommended them."
"2092","fixerd","General reputation in the community"
"2093","fixere","I saw their advertisement"
"2094","fixerf","I searched for the best price"
"2095","fixer1","What was the most important reason?"
"2096","relfixer","Relationship to the person who did the work"
"2097","satfixes","How satisfied were you with the work"
"2098","borrowed","Have you borrowed $100+ from another person"
"2099","wholoand","From whom did you borrow this money?"
"2100","sellbed","Would you rather sell bedroom furniture"
"2101","sellauto","O would you rather sell an automobile"
"2102","sellhome","E would you rather sell a house-condominium"
"2103","transoth","Hwould you be to mention problems"
"2104","loaned","Loaned $100+ past 12 months?"
"2105","loanedto","Oto whom did you lend this money?"
"2106","buybed","Would you buy furniture from a business"
"2107","buyauto","Would you buy a car from a business"
"2108","buylaw","Would you buy legal svcs from a business"
"2109","buyfixes","Would you buy home maintenance from a business"
"2110","buyhome","Would you buy a house from a business"
"2111","transrel","How likely to mention problems to relatives"
"2112","frnddeal","People usually get a better price from friends"
"2113","frndawk","Discussing price is awkward among friends"
"2114","tablprce","The factory not lowering price acceptable?"
"2115","organsb","Which procedures be used to assign the organ"
"2116","organsw","Which of these procedures would be the worst?"
"2117","sellorgn","Should people be permitted to sell a kidney"
"2118","adoption","Best way to match birth Mothers with adopters?"
"2119","sellbaby","Surrogate Mothers should be permitted"
"2120","sellsex","Nothing inherently wrong with prostitution"
"2121","reqinfo","Resp. of gov. to require biz. to provide info"
"2122","natrecon","Natural environments should be left alone"
"2123","tagsales","How frequently do you go to garage sales etc"
"2124","haggle","Do you expect to negotiate for a lower price?"
"2125","wkfambiz","Work for pay in a farm etc owned by your family?"
"2126","hrfambiz","How many hours per week?"
"2127","fambiz","What kind of business is this?"
"2128","econsys","Best-needs replaced"
"2129","famfinan","How you and your spouse organize your finances"
"2130","decauto","Deciding whether or not to buy an automobile"
"2131","decbed","Deciding whether or not to buy bedroom furniture"
"2132","decgift","Deciding on major charitable gifts."
"2133","layoffs","Who has the greatest right to keep their jobs?"
"2134","volhlth","Done volunteer work in health past 12 mnths"
"2135","voleduc","Done volunteer work in education"
"2136","volrelig","Done volunteer work in religious org"
"2137","volhuman","Done volunteer work in human services"
"2138","volenvir","Done volunteer work in environment"
"2139","volpub","Done volunteer work in pub-soc benefit"
"2140","volrec","Done volunteer work in recreation adults"
"2141","volart","Done volunteer work in arts, culture, etc"
"2142","volwork","Done volunteer work in work-related org"
"2143","volpol","Done volunteer work in political org. etc"
"2144","volyouth","Done volunteer work in youth development"
"2145","volfound","Done volunteer work in priv & comm. found"
"2146","volintl","Done volunteer work in international"
"2147","volinfrm","Done volunteer work in informal-alone"
"2148","voloth","Done volunteer work in other (specify)___"
"2149","monhlth","Done volunteer work in health past month"
"2150","moneduc","Done volunteer work in education"
"2151","monrelig","Done volunteer work in religious org"
"2152","monhuman","Done volunteer work in human services"
"2153","monenvir","Done volunteer work in environment"
"2154","monpub","Done volunteer work in pub-soc benefit"
"2155","monrec","Done volunteer work in recreation adults"
"2156","monart","Done volunteer work in arts, culture, etc"
"2157","monwork","Done volunteer work in work-related org"
"2158","monpol","Done volunteer work in political org. etc"
"2159","monyouth","H done volunteer work in youth development"
"2160","monfound","Done volunteer work in priv & comm. found"
"2161","monintl","Done volunteer work in international"
"2162","moninfrm","Done volunteer work in informal-alone"
"2163","monoth","Done volunteer work in other (specify)"
"2164","hrshlth","How many hours spent in health past month"
"2165","hrseduc","How many hours spent in education"
"2166","hrsrelig","How many hours spent in religious org past"
"2167","hrshuman","How many hours spent in human services"
"2168","hrsenvir","How many hours spent in environment"
"2169","hrspub","How many hours spent in pub-soc benefit"
"2170","hrsrec","How many hours spent in recreation adults"
"2171","hrsart","How many hours spent in arts, culture"
"2172","hrswork","How many hours spent in work-related org"
"2173","hrspol","How many hours spent in political org. etc"
"2174","hrsyouth","How many hours spent in youth development"
"2175","hrsfound","How many hours spent in priv & comm."
"2176","hrsintl","How many hours spent in international"
"2177","hrsinfrm","How many hours spent in informal-alone"
"2178","hrsoth","How many hours spent in other (specify)"
"2179","givhlth","Contributed money in 1995 in health"
"2180","giveduc","Contributed money in education"
"2181","givrelig","Contributed money in religious org"
"2182","givhuman","Contributed money in human services"
"2183","givenvir","Contributed money in environment"
"2184","givpub","Contributed money in pub-soc benefit"
"2185","givrec","Contributed money in recreation adults"
"2186","givart","Contributed money in arts, culture, etc"
"2187","givwork","Contributed money in work-related org"
"2188","givpol","Contributed money in political org. etc"
"2189","givyouth","Contributed money in youth development"
"2190","givfound","Contributed money in priv & comm. found"
"2191","givintl","Contributed money in international"
"2192","givinfrm","Contributed money in informal-alone"
"2193","givoth","Contributed money in other (specify)"
"2194","tothlth","How much money contributed in health"
"2195","toteduc","How much money contributed in education"
"2196","totrelig","How much money contributed in religious org"
"2197","tothuman","How much money contributed in human services"
"2198","totenvir","How much money contributed in environment"
"2199","totpub","How much money contributed in pub-soc benefit"
"2200","totrec","How much money contributed in recreation adults"
"2201","totart","How much money contributed in arts, culture, etc"
"2202","totwork","How much money contributed in work-related org"
"2203","totpol","How much money contributed in political org. etc"
"2204","totyouth","How much money contributed in youth development"
"2205","totfound","How much money contributed in priv & comm. found"
"2206","totintl","How much money contributed in international"
"2207","totinfrm","How much money contributed in informal-alone"
"2208","tototh","How much money contributed in other (specify)"
"2209","valhlth","Estimated value contributed in health"
"2210","valeduc","Estimated value contributed in education"
"2211","valrelig","Estimated value contributed in religious org"
"2212","valhuman","Estimated value contributed in human services"
"2213","valenvir","Estimated value contributed in environment"
"2214","valpub","Estimated value contributed in pub-soc benefit"
"2215","valrec","Estimated value contributed in recreation adults"
"2216","valart","Estimated value contributed in arts, culture, etc"
"2217","valwork","Estimated value contributed in work-related org"
"2218","valpol","Estimated value contributed in political org. etc"
"2219","valyouth","Estimated value contributed in youth development"
"2220","valfound","Estimated value contributed in priv & comm. found"
"2221","valintl","Estimated value contributed in international"
"2222","valinfrm","estimated value contributed in informal-alone"
"2223","valoth","Estimated value contributed in other (specify)"
"2224","homeless","Contributed to the homeless"
"2225","needynei","Contributed to a needy neighbor."
"2226","needyrel","Contributed to a needy relative."
"2227","needyfrd","Contributed to a needy friend."
"2228","needyoth","Contributed to other needy person"
"2229","probfix1","First mention of problem"
"2230","probfix2","Second mention of problem"
"2231","probfix3","Third mention of problem"
"2232","probhlp1","First mention to help problem"
"2233","probhlp2","Second mention to help problem"
"2234","probhlp3","Third mention to help problem"
"2235","vigversn","vignette version number"
"2236","seriousp","How serious X s situation is"
"2237","charactr","How likely X s situation caused by bad character"
"2238","imbalnce","How likely X s situation caused by imbalance in brain"
"2239","wayraise","How likely X s situation caused by the way raised"
"2240","stresses","How likely X s situation caused by stress"
"2241","genetics","How likely X s situation caused by genetic problem"
"2242","godswill","How likely X s situation caused by god s will"
"2243","upsdowns","How likely X is experiencing normal ups-and-downs of life"
"2244","breakdwn","How likely X is experiencing nervous breakdown"
"2245","mentlill","How likely X is experiencing mental illness"
"2246","physill","How likely X is experiencing physical illness"
"2247","viglabel","How likely X is experiencing vignettes"
"2248","dectreat","How able is X to decide receive treatment"
"2249","decmoney","How able is X to decide managing own money"
"2250","imprvown","How likely X s situation will improve on its own"
"2251","imprvtrt","How likely X s situation will improve with treatment"
"2252","vignei","How willing R would have X as a neighbor"
"2253","vigsoc","How willing R would spend time socializing with X"
"2254","vigfrnd","How willing R would make friends with X"
"2255","vigwork","How willing R would work closely with X on a job"
"2256","viggrp","How willing R would have a group home for x"
"2257","vigmar","How willing R would have X marry in R's family"
"2258","hurtoth","How likely X violent toward other people"
"2259","hurtself","How likely X violent toward oneself"
"2260","tlkfam","X should talk to family and friends"
"2261","tlkclrgy","X should talk to religious leader"
"2262","meddoc","X should go to general medical doctor for help"
"2263","mentldoc","X should go to psychiatrist for help"
"2264","mentloth","X should go to other mental health professional for help"
"2265","sphealer","X should go to spiritual healer for help"
"2266","selfhelp","X should join a self-group with similar problem"
"2267","otcmed","X should take non-prescription medication"
"2268","rxmed","X should take prescription medication"
"2269","mentlhos","X should check into a mental hospital"
"2270","ortlkfm","In what order talk things over with family & friends"
"2271","ortlkclr","In what order talk to a minister, priest, rabbi etc"
"2272","ormeddoc","In what order go to a general medical doctor"
"2273","ormntldc","In what order go to a psychiatrist for help"
"2274","ormntlot","In what order go to a therapist, or counselor"
"2275","orhealer","In what order go to a spiritual or a natural healer"
"2276","orslfhlp","In what order join a self-help group"
"2277","orotcmed","In what order take non-prescription medication"
"2278","orrxmed","In what order take prescription medication"
"2279","ormntlhs","In what order check into a mental hospital"
"2280","mustdoc","X should be forced to be examined at a clinic by law"
"2281","mustmed","X should be forced to take prescribed medication by law"
"2282","musthosp","X should be admitted to be hospitalized for treatment by law"
"2283","dangrslf","X should be admitted to be hospitalized for treatment if dangerous to x"
"2284","dangroth","X should be admitted to be hospitalized for treatment if dangerous to others"
"2285","medcare1","Who R thinks should be most responsible for cost of xs medical care"
"2286","medcare2","Who R thinks should be next most responsible for cost of xs medical care"
"2287","spmentl","Govt spending on health"
"2288","govmentl","Should govt provide health care for mental illness"
"2289","mntlas1","1st mention, what mental illness is, asserted"
"2290","mntlas2","2nd mention, what mental illness is, asserted"
"2291","mntlimp1","1st mention, what mental illness is, imputed"
"2292","mntlimp2","2nd mention, what mental illness is, imputed"
"2293","mntlimp3","3rd mention, what mental illness is, imputed"
"2294","mntlsym1","1st mention, what mental illness is, symptoms"
"2295","mntlsym2","2nd mention, what mental illness is, symptoms"
"2296","mntlsym3","3rd mention, what mental illness is, symptoms"
"2297","mntloth","What mental illness is, other codes"
"2298","brkdas1","1st mention, what nervous breakdown is, asserted"
"2299","brkdas2","2nd mention, what nervous breakdown is, asserted"
"2300","brkdimp1","1st mention, what nervous breakdown is, imputed"
"2301","brkdimp2","2nd mention, what nervous breakdown is, imputed"
"2302","brkdimp3","3rd mention, what nervous breakdown is, imputed"
"2303","brkdsym1","1st mention, what nervous breakdown is, symptoms"
"2304","brkdsym2","2nd mention, what nervous breakdown is, symptoms"
"2305","brkdsym3","3rd mention, what nervous breakdown is, symptoms"
"2306","brkdoth","What nervous breakdown is, other codes"
"2307","knwmhosp","Know anyone who was in a hospital"
"2308","relmhsp1","Patient was self"
"2309","relmhsp2","Patient was immediate family"
"2310","relmhsp3","Patient was other relatives"
"2311","relmhsp4","Patient was close friend"
"2312","relmhsp5","Patient was acquaintance"
"2313","relmhsp6","Patient was other"
"2314","knwpatnt","Known anyone seeing a psychologist etc?"
"2315","evbrkdwn","Ever felt going to have a nervous breakdown?"
"2316","brkdwhy1","1st mention cause of ner. break feelings"
"2317","brkdwhy2","2nd mention cause of ner. break feelings"
"2318","brkdwhy3","3rd mention cause of ner. break feelings"
"2319","brkddo1","1st mention what R did when felt ner. break"
"2320","brkddo2","2nd mention what R did when felt ner. break"
"2321","brkddo3","3rd mention what R did when felt ner. break"
"2322","brkdhlp1","1st mention what help R sought"
"2323","brkdhlp2","2nd mention what help R sought"
"2324","brkdhlp3","3rd mention what help R sought"
"2325","brkdtime","When feelings of nervous breakdown happened"
"2326","brkddur","Duration, severity of nervous breakdown feelings"
"2327","evmhp","Ever had mental health problem"
"2328","mnilwhy1","1st mention cause of mental illness feelings"
"2329","mnilwhy2","2nd mention cause of mental illness feelings"
"2330","mnilwhy3","3rd mention cause of mental illness feelings"
"2331","mnildo1","1st mention what R did when felt mental illness"
"2332","mnildo2","2nd mention what R did when felt mental illness"
"2333","mnildo3","3rd mention what R did when felt mental illness"
"2334","mnilhlp1","1st mention what help R sought"
"2335","mnilhlp2","2nd mention what help R sought"
"2336","mnilhlp3","3rd mention what help R sought"
"2337","mniltime","When feelings of mental illness happened"
"2338","mnildur","Duration, severity of feelings of mental illness"
"2339","povline","R's hh poverty status"
"2340","incdef","Distance below poverty line"
"2341","realinc","Family income in constant $"
"2342","realrinc","R's income in constant $"
"2343","minfour","Imputed poverty line for family of four"
"2344","minfood","Imputed wkly food spending for pov line fam of 4"
"2345","minthree","Imputed poverty line for family of three"
"2346","welfare1","Welfare makes people work less"
"2347","welfare2","Helps people overcome difficult times"
"2348","welfare3","Encourages out-of-wedlock children"
"2349","welfare4","Preserves marriages in difficult times"
"2350","welfare5","Helps prevent hunger and starvation"
"2351","welfare6","DISCOurages pregnant girls from marrying"
"2352","sectech","Should govt maintain secrecy over technology"
"2353","secdocs","Does govt classify too many documents as secrets"
"2354","rptcowrk","Report coworkers threatening secrecy of work"
"2355","askfinan","Govt investigate workers finances for security"
"2356","askcrime","Govt investigate workers crime records"
"2357","askdrugs","Govt investigate workers illegal drug use"
"2358","askmentl","Govt investigate workers mental health"
"2359","askforgn","Govt investigate workers foreign family"
"2360","askdrink","Govt investigate workers alcohol use"
"2361","asksexor","Govt investigate workers sexual orientation"
"2362","askfrbiz","Govt investigate foreign business contacts"
"2363","askfrtrv","Govt investigate foreign travel"
"2364","askcomp","Govt investigate use of computers"
"2365","secprvcy","Govt favor secrecy over workers privacy?"
"2366","secdiplo","Government maintain secrecy on diplomatic initiatives"
"2367","secmilop","Government maintain secrecy on military operations"
"2368","secterr","Government maintain secrecy on domestic terrorism"
"2369","secbudgt","Government maintain secrecy on the intelligence budget"
"2370","chkfinan","Government should verify financial assets"
"2371","chkspfin","Government should verify spouse's financial assets"
"2372","chktaxes","Government should verify tax records"
"2373","knomentl","Gov should have the right to know"
"2374","takearms","Punishment for stealing and selling weapons"
"2375","leakinfo","Punishment for official leaking information"
"2376","spyenemy","Punishment for selling secrets to hostile foreign gov"
"2377","spyfrend","Punishment for selling secrets to friend foreign gov"
"2378","taketrck","Punishment for stealing and selling truck parts"
"2379","punarms","Punishment stealing and selling arms"
"2380","punleak","Punishment leaking sensitive information"
"2381","punenmy","Punishment selling info to foreign enemies"
"2382","punfrnd","Punishment selling info to friendly countries"
"2383","puntrck","Punishment stealing govt truck parts"
"2384","comsteal","Punishment stealing national security computer"
"2385","comdata","Punishment damaging national security computer"
"2386","comsys","Punishment for damaging a computer system"
"2387","comsnoop","Punishment for snooping in a computer system"
"2388","comemail","Punishment emailing documents unauthorized per"
"2389","comporn","Punishment for downloading porn at office"
"2390","lietest","People with secret should be subject to lie tests"
"2391","testdrug","People with secret should be subject to drug tests"
"2392","bugging","People with secret should be subject to wiretapping"
"2393","finanqs","People with secret should be subject to ques. of finan"
"2394","chkonjob","People with secret should be subject to monitoring"
"2395","chkother","People with secret should be subject to monitoring of"
"2396","compfin","Govt check Personal financial records"
"2397","chktravl","Govt check international travel records"
"2398","emailwrk","Govt audit email and internet at work"
"2399","emailhme","Govt audit email and internet at home"
"2400","tapwrk","Govt wire-tap work phone line"
"2401","taphme","Govt wire-tap home phone line"
"2402","srchwrk","Govt search briefcases and desks at work"
"2403","camwrk","Govt camera surveillance at work"
"2404","usspy","U.S. spies foreign govts more threat 10 yrs ago"
"2405","forspy","Foreign spies more threat 10 yrs ago"
"2406","usterror","Terrorism by U.S. citizens more threat 10 yrs"
"2407","frterror","Terrorism by foreigneR's more threat 10 yrs ago"
"2408","forsteal","ForeigneR's stealing U.S. tech more threat 10 y"
"2409","nuclrwar","Nuclear war more threat 10 yrs ago"
"2410","compuse","R use computer"
"2411","webmob","R uses home internet through mobile device"
"2412","webtv","R has internet via webTV"
"2413","emailmin","Email minutes per week"
"2414","emailhr","Email hours per week"
"2415","usewww","R use www other than email"
"2416","wwwhr","Www hours per week"
"2417","wwwmin","Www minutes per week"
"2418","chathr","Chatroom hours per week"
"2419","chatmin","Chatroom minutes per week"
"2420","drctlink","How often R links from homepage"
"2421","typeurl","How often R types URLs by self"
"2422","srcheng","How often R uses search engine"
"2423","bookmark","How often R uses bookMarks"
"2424","catdrcty","How often R uses web directories"
"2425","hyperlnk","How often R uses links in other sites"
"2426","fin30","R use financial information site in past 30 day"
"2427","schl30","R use school site in past 30 days"
"2428","educ30","R use education site in past 30 days"
"2429","work30","R use work site in past 30 days"
"2430","news30","R use news site in past 30 days"
"2431","govt30","R use govt site in past 30 days"
"2432","pol30","R use political information site in past 30 day"
"2433","travel30","R use travel site in past 30 days"
"2434","sports30","R use sports site in past 30 days"
"2435","music30","R use music site in past 30 days"
"2436","art30","R use art site in past 30 days"
"2437","tvmov30","R use movie site in past 30 days"
"2438","health30","R use health site in past 30 days"
"2439","relig30","R use religion site in past 30 days"
"2440","games30","R use game site in past 30 days"
"2441","humor30","R use humor site in past 30 days"
"2442","porn30","R use pornographic site in past 30 days"
"2443","person30","R use Personal website in past 30 days"
"2444","sci30","R use science site in past 30 days"
"2445","hobby30","R use hobby site in past 30 days"
"2446","cook30","R use cooking site in past 30 days"
"2447","work12","R use web for work in past 12 months"
"2448","hmefin12","R use web for home finances in past 12 months"
"2449","buyinf12","R use web for product information in past 12 mo"
"2450","buyit12","R use web to purchase products in past 12 month"
"2451","invest12","R use web to invest money in past 12 months"
"2452","people12","R use web to meet new people in past 12 months"
"2453","health12","R use web for health information in past 12 mon"
"2454","travel12","R use web for travel in past 12 months"
"2455","locate12","R use web to find addresses in past 12 months"
"2456","game12","R use web for games in past 12 months"
"2457","newjob12","R use web to look for new job in past 12 months"
"2458","chat12","R use web for chatrooms in past 12 months"
"2459","polinf12","R use web for political information in past 12"
"2460","econ12","Past 12 months R web to learn economy"
"2461","abort12","Past 12 months R web to learn abortion"
"2462","moral12","Past 12 months R web to learn moral issues"
"2463","foraff12","Past 12 months R web to learn foreign affairs"
"2464","racrel12","Past 12 months R web to learn race relations"
"2465","enviro12","Past 12 months R web to learn environment"
"2466","polcam12","Past 12 months R web to learn pol campaigns"
"2467","gun12","Past 12 months R web to learn gun control"
"2468","taxes12","Past 12 months R web to learn taxes"
"2469","fe12","Past 12 months R web to learn gender issues"
"2470","news12","Past 12 months R web to learn news"
"2471","polagree","Visit political sites R agrees with"
"2472","polneutl","Visit politically neutral sites"
"2473","poldsagr","Visit political sites R disagrees with"
"2474","petition","Web make R sign petition"
"2475","contact","Web make R contact elected official"
"2476","meeting","Web make R attend a political meeting"
"2477","caninf1","Would use search engine for information on candidate"
"2478","caninf2","Would use category directory information on can"
"2479","caninf3","Would use bookMark for information on candidate"
"2480","caninf4","Would guess or type site name for information o"
"2481","caninf5","Would seek advice for information on candidate"
"2482","caninf6","Would use chat group for information on candida"
"2483","caninf7","Would go to candidate site for information on c"
"2484","caninf8","Would go to politics site for information on ca"
"2485","caninf9","Would go to news site for information on candid"
"2486","caninf10","Would go to portal site for information on candidate"
"2487","caninf11","Would go to govt site for information on candid"
"2488","caninf12","Would refuse to answer not sure don't know"
"2489","caninf13","Does R mentioned any specific URL?"
"2490","caninf14","First site mentioned"
"2491","polnew","R learn something new on the web"
"2492","polchnge","Web change R's mind"
"2493","polforms","Web help form opinions"
"2494","polconf","Web help confirm opinions"
"2495","polalter","Web help change mind"
"2496","poltough","Web show issues more complicated"
"2497","artsmin","How many minutes at arts websites"
"2498","artshr","How many hours at arts websites"
"2499","artschat","Use chatrooms about arts"
"2500","artsnew","R learn something new on web about arts"
"2501","artschng","Web change mind about arts on web"
"2502","wwwmusic","Use the web to learn about music"
"2503","musicinf","Use web to get music information"
"2504","musicget","Use web to download music"
"2505","musiclst","Use web to listen to radio"
"2506","musicbuy","Use web to buy music after hearing on web"
"2507","wwwclass","In last month listen classical music on web"
"2508","wwwcntry","In last month listen country music on web"
"2509","wwwgthic","In last month listen gothic music on web"
"2510","wwwjazz","In last month listen jazz music on web"
"2511","wwwoldie","In last month listen oldies music on web"
"2512","wwwrap","In last month listen rap music on web"
"2513","wwwrelig","In last month listen religious music on web"
"2514","wwwrock","In last month listen rock music on web"
"2515","wwwworld","In last month listen world music on web"
"2516","musiclke","Visit sites about music R likes"
"2517","musicdif","Visit many different types of music"
"2518","musicnew","Visit sites about music not usually heard"
"2519","wwwart","Use web to learn about visual arts"
"2520","artmus1","Use web to learn about upcoming exhibits"
"2521","artmus2","Use web to learn about existing exhibits"
"2522","artview","Use web to look at art works"
"2523","artinfo","Use web to find info about artists"
"2524","artmus3","Visit museum after learning on web"
"2525","wwwlit","Use web to learn about literature"
"2526","litsite","Use web to learn about a book or poem"
"2527","litget","Use web to download poem or fiction"
"2528","litauth","Visit site associated with writer"
"2529","litread","Read book after seeing author on web"
"2530","wwwpersn","Has R met person on web"
"2531","wwwsp","Has anyone met on web become spouse"
"2532","wwwgfbf","Has anyone met on web become partner"
"2533","wwwcowrk","Has anyone met on web become coworker"
"2534","wwwbiz","Has anyone met on web become business partner"
"2535","wwwnei","Has anyone met on wen become neighbor"
"2536","wwwfrnd","Has anyone met on web become friend"
"2537","wwwvol","Has anyone met on web become volunteer with R"
"2538","online","Has R used online help for software"
"2539","manual","Has R consulted manual for help with software"
"2540","callcomp","Has R called software company for help"
"2541","askwork","Has R asked someone at work for help with software"
"2542","askother","Has R asked someone else for help with software"
"2543","payother","Has R paid for help with software"
"2544","doonown","Has R figured out problems with software on own"
"2545","advsp","R can ask spouse or partner for software help"
"2546","advchld","R can ask son or daughter for software help"
"2547","advpar","R can ask parent for software help"
"2548","advsib","R can ask sibling or sibling partner software h"
"2549","advfam","R can ask other family members software help"
"2550","advtchr","R can ask teacher software help"
"2551","advstu","R can ask other student software help"
"2552","advsup","R can ask work supervisor software help"
"2553","advcowrk","R can ask coworker software help"
"2554","advcfrnd","R can ask close friend software help"
"2555","advofrnd","R can ask acquaintance software help"
"2556","advlib","R can ask librarian software help"
"2557","srcheng1","Does R know the name of a search engine"
"2558","srcheng2","Name of search engine given by R"
"2559","download","Does R know how to download files from www"
"2560","upload","Does R know how to upload files to www"
